ZipCode,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23
85003,,4.0,3.0,5.0,0.0,3.0,0.0,2.0,5.0,0.0,4.0,0.0,7.0,0.0,3.0,3.0,0.0,2.0,0.0,7.0,0.0,-1.0,0.0,13.0,7.0,5.0,2.0,5.0,11.0,10.0,4.0
85004,,0.0,2.0,3.0,0.0,8.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,1.0,1.0,12.0,0.0,4.0,0.0,28.0,5.0,9.0,2.0,1.0,4.0,6.0,2.0
85006,,-3.0,14.0,10.0,0.0,17.0,5.0,7.0,4.0,10.0,7.0,0.0,2.0,-3.0,3.0,4.0,8.0,5.0,1.0,24.0,0.0,1.0,0.0,31.0,7.0,10.0,7.0,14.0,7.0,13.0,3.0
85007,,2.0,13.0,6.0,0.0,9.0,5.0,5.0,28.0,8.0,6.0,0.0,-3.0,3.0,8.0,16.0,22.0,8.0,1.0,9.0,0.0,2.0,0.0,44.0,4.0,11.0,9.0,10.0,6.0,19.0,2.0
85008,,0.0,3.0,27.0,0.0,5.0,6.0,11.0,18.0,19.0,34.0,0.0,15.0,3.0,9.0,29.0,23.0,18.0,5.0,54.0,0.0,8.0,0.0,66.0,18.0,23.0,46.0,39.0,29.0,40.0,25.0
85009,,31.0,41.0,33.0,0.0,96.0,-7.0,29.0,35.0,79.0,26.0,0.0,73.0,3.0,67.0,35.0,78.0,53.0,24.0,128.0,0.0,15.0,0.0,204.0,105.0,9.0,44.0,0.0,3.0,21.0,24.0
85012,,5.0,-1.0,3.0,0.0,0.0,0.0,1.0,-1.0,2.0,2.0,0.0,-2.0,-1.0,4.0,1.0,0.0,5.0,2.0,3.0,0.0,3.0,0.0,11.0,3.0,6.0,3.0,4.0,2.0,6.0,4.0
85013,,2.0,2.0,2.0,0.0,5.0,1.0,5.0,2.0,5.0,4.0,0.0,9.0,0.0,3.0,10.0,5.0,5.0,1.0,15.0,0.0,2.0,0.0,33.0,5.0,9.0,6.0,14.0,13.0,16.0,6.0
85014,,11.0,-4.0,2.0,0.0,9.0,5.0,7.0,4.0,12.0,5.0,0.0,2.0,6.0,6.0,13.0,11.0,15.0,-13.0,14.0,0.0,9.0,0.0,29.0,9.0,11.0,9.0,16.0,14.0,17.0,10.0
85015,,0.0,1.0,5.0,0.0,12.0,1.0,1.0,-1.0,8.0,14.0,0.0,11.0,2.0,9.0,20.0,11.0,8.0,1.0,25.0,0.0,1.0,0.0,36.0,18.0,22.0,29.0,22.0,20.0,27.0,13.0
85016,,-1.0,5.0,13.0,0.0,10.0,-2.0,-2.0,11.0,5.0,17.0,0.0,19.0,2.0,9.0,10.0,10.0,12.0,7.0,44.0,0.0,-2.0,0.0,58.0,13.0,19.0,20.0,24.0,15.0,25.0,9.0
85017,,8.0,6.0,15.0,0.0,16.0,2.0,3.0,13.0,7.0,12.0,0.0,10.0,7.0,18.0,30.0,19.0,24.0,4.0,37.0,0.0,8.0,0.0,107.0,15.0,25.0,16.0,15.0,21.0,31.0,19.0
85018,,6.0,4.0,4.0,0.0,11.0,8.0,4.0,12.0,5.0,4.0,0.0,8.0,7.0,5.0,7.0,11.0,4.0,2.0,20.0,0.0,5.0,0.0,33.0,11.0,19.0,11.0,20.0,23.0,13.0,6.0
85019,,2.0,8.0,3.0,0.0,12.0,7.0,5.0,8.0,4.0,10.0,0.0,9.0,0.0,11.0,5.0,11.0,7.0,0.0,13.0,0.0,6.0,0.0,40.0,14.0,13.0,14.0,15.0,9.0,20.0,16.0
85020,,6.0,2.0,6.0,0.0,1.0,4.0,3.0,8.0,7.0,12.0,0.0,8.0,4.0,12.0,8.0,5.0,11.0,1.0,25.0,0.0,0.0,0.0,44.0,6.0,18.0,12.0,14.0,9.0,13.0,6.0
85021,,5.0,6.0,9.0,0.0,12.0,1.0,10.0,11.0,3.0,4.0,0.0,9.0,4.0,7.0,7.0,10.0,5.0,5.0,20.0,0.0,3.0,0.0,46.0,9.0,24.0,16.0,16.0,18.0,26.0,12.0
85022,,2.0,4.0,6.0,0.0,22.0,4.0,0.0,13.0,16.0,10.0,0.0,4.0,1.0,8.0,3.0,6.0,11.0,5.0,23.0,0.0,1.0,0.0,51.0,7.0,18.0,17.0,22.0,19.0,23.0,9.0
85023,,2.0,3.0,7.0,0.0,6.0,6.0,7.0,8.0,2.0,14.0,0.0,9.0,1.0,2.0,5.0,10.0,6.0,0.0,25.0,0.0,2.0,0.0,26.0,10.0,19.0,6.0,11.0,17.0,13.0,6.0
85024,,4.0,-1.0,5.0,0.0,2.0,1.0,3.0,6.0,6.0,-1.0,0.0,0.0,1.0,5.0,8.0,2.0,5.0,0.0,9.0,0.0,1.0,0.0,32.0,6.0,8.0,8.0,8.0,9.0,17.0,5.0
85027,,3.0,1.0,7.0,0.0,8.0,4.0,4.0,14.0,3.0,10.0,0.0,8.0,4.0,10.0,8.0,5.0,6.0,6.0,18.0,0.0,2.0,0.0,30.0,12.0,13.0,19.0,20.0,10.0,15.0,16.0
85028,,3.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,8.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,6.0,9.0,7.0,5.0,6.0,7.0,7.0,3.0
85029,,0.0,3.0,10.0,0.0,7.0,9.0,5.0,7.0,6.0,16.0,0.0,12.0,7.0,10.0,11.0,12.0,10.0,1.0,25.0,0.0,9.0,0.0,59.0,14.0,26.0,8.0,25.0,23.0,26.0,11.0
85031,,7.0,6.0,20.0,0.0,8.0,6.0,3.0,14.0,4.0,11.0,0.0,22.0,4.0,15.0,8.0,8.0,1.0,2.0,12.0,0.0,4.0,0.0,31.0,11.0,8.0,13.0,10.0,12.0,16.0,9.0
85032,,7.0,5.0,7.0,0.0,22.0,8.0,10.0,12.0,19.0,17.0,0.0,19.0,11.0,16.0,29.0,23.0,25.0,5.0,48.0,0.0,7.0,0.0,105.0,16.0,22.0,26.0,26.0,18.0,34.0,23.0
85033,,4.0,9.0,22.0,0.0,12.0,7.0,13.0,16.0,11.0,9.0,0.0,9.0,5.0,24.0,12.0,23.0,19.0,2.0,43.0,0.0,5.0,0.0,63.0,26.0,37.0,31.0,35.0,27.0,31.0,17.0
85034,,1.0,2.0,1.0,0.0,5.0,2.0,0.0,2.0,-1.0,4.0,0.0,0.0,-1.0,5.0,4.0,5.0,1.0,0.0,10.0,0.0,1.0,0.0,11.0,1.0,10.0,2.0,6.0,5.0,1.0,4.0
85035,,4.0,4.0,21.0,0.0,20.0,3.0,6.0,23.0,16.0,13.0,0.0,18.0,6.0,16.0,25.0,21.0,19.0,5.0,42.0,0.0,9.0,0.0,67.0,22.0,19.0,31.0,39.0,24.0,30.0,23.0
85037,,6.0,8.0,20.0,0.0,19.0,10.0,20.0,15.0,20.0,24.0,0.0,15.0,7.0,19.0,24.0,10.0,11.0,6.0,40.0,0.0,10.0,0.0,65.0,15.0,24.0,32.0,26.0,30.0,38.0,21.0
85040,,9.0,4.0,2.0,0.0,17.0,4.0,2.0,6.0,4.0,7.0,0.0,2.0,1.0,5.0,9.0,9.0,5.0,3.0,23.0,0.0,10.0,0.0,52.0,7.0,17.0,25.0,27.0,22.0,19.0,10.0
85041,,4.0,13.0,25.0,0.0,26.0,4.0,15.0,5.0,14.0,14.0,0.0,12.0,7.0,27.0,22.0,16.0,12.0,1.0,47.0,0.0,6.0,0.0,99.0,22.0,37.0,22.0,33.0,38.0,40.0,34.0
85042,,7.0,6.0,13.0,0.0,8.0,4.0,7.0,10.0,4.0,13.0,0.0,11.0,0.0,10.0,13.0,14.0,7.0,1.0,26.0,0.0,9.0,0.0,48.0,13.0,12.0,34.0,26.0,26.0,24.0,15.0
85043,,5.0,4.0,6.0,0.0,12.0,15.0,7.0,6.0,17.0,9.0,0.0,10.0,-1.0,4.0,20.0,10.0,10.0,2.0,42.0,0.0,2.0,0.0,47.0,8.0,21.0,29.0,24.0,16.0,24.0,20.0
85044,,8.0,2.0,3.0,0.0,12.0,2.0,1.0,14.0,7.0,5.0,0.0,11.0,1.0,3.0,8.0,9.0,10.0,6.0,32.0,0.0,8.0,0.0,42.0,8.0,7.0,18.0,20.0,9.0,26.0,11.0
85045,,0.0,1.0,3.0,0.0,2.0,0.0,-1.0,1.0,2.0,1.0,0.0,1.0,-1.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,3.0,3.0,4.0,2.0,5.0,4.0,1.0
85048,,3.0,3.0,3.0,0.0,5.0,6.0,6.0,4.0,5.0,6.0,0.0,19.0,3.0,8.0,7.0,18.0,9.0,1.0,14.0,0.0,3.0,0.0,30.0,7.0,13.0,16.0,20.0,9.0,19.0,14.0
85050,,0.0,4.0,6.0,0.0,6.0,1.0,5.0,12.0,12.0,4.0,0.0,10.0,0.0,3.0,3.0,6.0,4.0,1.0,12.0,0.0,9.0,0.0,25.0,14.0,13.0,20.0,1.0,22.0,14.0,7.0
85051,,2.0,3.0,7.0,0.0,7.0,6.0,2.0,4.0,16.0,11.0,0.0,13.0,7.0,10.0,9.0,18.0,3.0,1.0,22.0,0.0,1.0,0.0,49.0,9.0,26.0,18.0,17.0,18.0,22.0,16.0
85053,,6.0,0.0,8.0,0.0,5.0,4.0,7.0,10.0,7.0,4.0,0.0,9.0,-1.0,5.0,10.0,8.0,6.0,1.0,23.0,0.0,6.0,0.0,37.0,14.0,4.0,11.0,10.0,4.0,15.0,5.0
85054,,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,0.0,3.0,0.0,8.0,4.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,9.0,0.0,8.0,5.0,6.0,3.0,4.0,5.0
85083,,6.0,5.0,5.0,0.0,10.0,-1.0,3.0,3.0,4.0,2.0,0.0,9.0,1.0,11.0,4.0,2.0,7.0,2.0,21.0,0.0,2.0,0.0,46.0,10.0,8.0,12.0,9.0,4.0,16.0,3.0
85085,,3.0,1.0,1.0,0.0,0.0,1.0,4.0,9.0,12.0,2.0,0.0,7.0,-1.0,10.0,9.0,4.0,5.0,1.0,13.0,0.0,5.0,0.0,23.0,8.0,11.0,12.0,8.0,12.0,13.0,2.0
85086,,4.0,3.0,10.0,0.0,4.0,3.0,7.0,8.0,17.0,4.0,0.0,7.0,11.0,7.0,3.0,4.0,6.0,3.0,14.0,0.0,5.0,0.0,58.0,13.0,8.0,14.0,16.0,13.0,16.0,8.0
85087,,1.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,2.0,2.0,0.0,3.0,0.0,5.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0,3.0,1.0,3.0,3.0,5.0,0.0
85118,,1.0,-1.0,0.0,0.0,6.0,4.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,2.0,14.0,0.0,3.0,6.0,0.0,1.0,0.0,15.0,12.0,5.0,4.0,7.0,16.0,5.0,6.0
85119,,6.0,0.0,0.0,0.0,7.0,2.0,3.0,-2.0,7.0,3.0,0.0,6.0,6.0,12.0,1.0,11.0,1.0,4.0,16.0,0.0,1.0,0.0,25.0,5.0,14.0,7.0,6.0,6.0,3.0,6.0
85120,,2.0,0.0,2.0,0.0,4.0,14.0,8.0,1.0,7.0,0.0,0.0,12.0,4.0,11.0,0.0,21.0,5.0,6.0,25.0,0.0,1.0,0.0,55.0,9.0,21.0,7.0,21.0,16.0,18.0,10.0
85121,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85121,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85122,,12.0,7.0,1.0,0.0,20.0,6.0,10.0,1.0,12.0,5.0,0.0,25.0,6.0,21.0,3.0,46.0,1.0,12.0,33.0,0.0,3.0,0.0,86.0,40.0,19.0,41.0,39.0,24.0,29.0,36.0
